GHG,Site_EUI
77.3,85.6
378.7,67.6
557.5,152.7
146.2,55.7
268.2,144.2
478.2,116.2
281.1,81.1
380.1,49.3
79.3,78.3
236.4,73.2
432.0,70.2
329.2,88.6
144.4,103.2
466.5,111.2
191.8,48.5
311.0,87.9
251.3,59.5
376.3,90.8
349.8,78.8
557.2,80.5
289.8,63.1
532.4,95.3
504.8,76.5
317.6,80.6
81.7,42.6
378.9,65.8
520.6,96.3
368.8,82.9
300.6,46.9
519.1,52.2
317.2,72.4
544.3,55.6
345.7,119.8
523.5,130.4
400.2,104.3
469.1,92.3
364.5,80.9
333.3,77.2
465.8,107.1
522.7,145.1
308.2,70.9
562.2,96.9
283.2,88.4
302.4,102.4
302.8,111.0
249.7,69.9
199.6,44.4
376.1,113.7
182.5,62.0
250.9,88.8
66.0,86.4
223.0,94.3
354.7,62.1
278.8,69.5
62.1,57.7
195.3,60.0
379.6,105.4
366.6,70.5
341.6,61.1
237.6,59.0
344.4,36.5
294.2,61.4
322.7,86.8
310.4,53.4
277.2,71.6
312.4,64.1
323.6,94.9
324.7,93.0
324.3,79.9
327.4,46.3
54.7,76.0
374.2,76.8
445.7,93.4
398.8,68.5
422.5,78.2
453.1,83.0
265.1,75.4
474.6,73.5
395.8,71.8
557.3,95.9
478.0,61.5
202.1,51.8
462.5,75.1
447.9,31.7
425.6,91.0
72.2,56.1
396.1,78.3
260.7,72.9
323.2,147.9
571.4,58.8
61.9,43.6
419.3,57.5
132.4,131.7
220.3,67.6
294.7,69.5
464.7,90.3
390.8,67.1
101.4,46.6
329.1,85.0
294.8,96.5
441.9,99.8
558.7,72.8
111.8,56.5
293.9,80.3
578.6,45.4
301.0,72.2
220.8,67.0
194.8,88.9
162.6,87.2
399.8,70.2
538.7,87.0
245.9,42.8
379.1,86.1
209.6,58.8
280.4,67.1
176.9,75.9
277.2,57.2
543.8,64.0
227.4,71.9
482.8,60.9
363.6,69.4
119.8,18.8
429.7,57.1
202.0,80.4
197.2,82.8
358.5,71.3
131.4,59.4
544.7,86.5
535.1,65.3
553.1,58.1
286.3,85.5
192.9,81.5
369.8,86.5
122.5,77.7
261.5,72.3
166.9,79.7
467.8,66.9
403.5,75.1
71.9,42.6
321.8,103.4
290.8,89.2
329.9,85.6
75.5,81.2
143.3,40.5
284.7,72.9
396.8,88.1
254.4,99.8
343.6,71.9
329.0,83.2
250.8,73.8
524.6,127.8
541.2,64.5
353.5,59.1
399.1,75.9
425.1,79.2
588.4,64.4
398.9,105.5
578.1,89.3
478.2,55.5
343.7,67.6
302.6,72.7
238.2,63.8
548.3,85.0
282.6,73.8
493.0,102.7
430.0,70.7
201.7,83.6
484.0,85.8
312.1,153.9
276.4,97.6
260.4,72.1
591.2,99.6
498.3,89.4
136.9,81.7
483.8,69.6
583.0,86.4
496.2,73.3
149.0,85.8
235.1,86.1
277.8,87.0
391.2,96.5
245.5,76.4
260.7,72.0
209.0,73.3
448.2,55.2
161.7,69.5
374.4,106.0
465.3,72.3
343.3,49.4
406.7,87.1
300.4,85.4
434.8,78.3
388.2,54.9
509.8,91.7
270.1,51.0
58.8,34.4
520.2,67.8
299.0,64.1
243.1,112.4
68.7,136.1
312.6,56.9
312.6,95.8
456.5,72.4
453.8,83.8
516.0,66.7
401.1,44.0
